Run_accession,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Material,Type,Isolation source,Avg_read_len,Avg_num_reads,True_label
SRR1794618,WGS,PRJNA255922,SAMN03287599,UCLA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX869993,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,human oral metagenome,ILLUMINA,2015-02-10T00:00:00Z,S14-02-D,SRP052958,Oral,mMetagenome,Plaque,93.55,43351054.0,mOral
SRR1795009,WGS,PRJNA255922,SAMN03287605,UCLA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX870379,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,human oral metagenome,ILLUMINA,2015-02-10T00:00:00Z,S21-04-R,SRP052958,Oral,mMetagenome,Plaque,95.9,33017622.0,mOral
SRR1795018,WGS,PRJNA255922,SAMN03287609,UCLA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX870388,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,human oral metagenome,ILLUMINA,2015-02-10T00:00:00Z,S27-04-R,SRP052958,Oral,mMetagenome,Plaque,92.95,34856128.0,mOral
SRR1783758,WGS,PRJNA255922,SAMN03287589,UCLA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX862787,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,human oral metagenome,ILLUMINA,2015-02-05T00:00:00Z,S13-04-R,SRP052958,Oral,mMetagenome,Plaque,97.3,36490332.0,mOral
SRR2240920,WGS,PRJNA275349,SAMN03351569,JCVI,public,"sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1182854,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-09-08T00:00:00Z,700122872_zo7_G_DNA_Supragingival_plaque,SRP056641,Oral,mMetagenome,Plaque,101.0,27386137.0,mOral
SRR1952611,WGS,PRJNA275349,SAMN03351552,JCVI,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX978539,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-04-09T00:00:00Z,700122212_zo7_G_DNA_Supragingival_plaque,SRP056641,Oral,mMetagenome,Plaque,101.0,28677800.0,mOral
SRR1923771,AMPLICON,PRJNA278873,SAMN03433817,INDIANA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX963822,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,human skin metagenome,LS454,2015-03-23T00:00:00Z,s1r2.40B,SRP056364,Skin,mMetagenome,Not applicable,391.9,2202.0,Skin
SRR7448290,WGS,PRJNA478018,SAMN09489426,J. CRAIG VENTER INSTITUTE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4318852,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,human oral metagenome,ILLUMINA,2018-06-28T00:00:00Z,Metagenome,SRP151559,Oral,mMetagenome,Saliva,149.8,33977611.0,mOral
SRR7448292,WGS,PRJNA478018,SAMN09489426,J. CRAIG VENTER INSTITUTE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4318850,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,human oral metagenome,ILLUMINA,2018-06-28T00:00:00Z,Metagenome,SRP151559,Oral,mMetagenome,Saliva,148.95,16188903.0,mOral
SRR7448294,WGS,PRJNA478018,SAMN09489426,J. CRAIG VENTER INSTITUTE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4318848,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,human oral metagenome,ILLUMINA,2018-06-28T00:00:00Z,Metagenome,SRP151559,Oral,mMetagenome,Saliva,149.6,18614551.0,mOral
SRR7448312,WGS,PRJNA478018,SAMN09489426,J. CRAIG VENTER INSTITUTE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4318830,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,human oral metagenome,ILLUMINA,2018-06-28T00:00:00Z,Metagenome,SRP151559,Oral,mMetagenome,Saliva,149.8,27142636.0,mOral
ERR671910,WGS,PRJEB7626,SAMEA3113585,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626888,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113585,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,45526749.0,Sediment/Soil
ERR671913,WGS,PRJEB7626,SAMEA3113584,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626891,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113584,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,38222533.0,Sediment/Soil
ERR671914,WGS,PRJEB7626,SAMEA3113583,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626892,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113583,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,38594470.0,Sediment/Soil
ERR671916,WGS,PRJEB7626,SAMEA3113582,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626894,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113582,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,44283033.0,Sediment/Soil
ERR671917,WGS,PRJEB7626,SAMEA3113582,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626895,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113582,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,44330269.0,Sediment/Soil
ERR671922,WGS,PRJEB7626,SAMEA3113579,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626900,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113579,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,48806409.0,Sediment/Soil
ERR671923,WGS,PRJEB7626,SAMEA3113579,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626901,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113579,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,49186754.0,Sediment/Soil
ERR671925,WGS,PRJEB7626,SAMEA3113579,BRAEMBL,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX626903,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2015-01-28T00:00:00Z,SAMEA3113579,ERP008551,Sediment/Soil,mMetagenome,Not applicable,151.0,38749707.0,Sediment/Soil
